lab,name,degree
Stanford Neural Prosthetics Translational Lab (NPTL),Chaofei Fan,PhD
Stanford Neural Prosthetics Translational Lab (NPTL),Alisa Levin,PhD
Stanford Neural Prosthetics Translational Lab (NPTL),Benyamin Abramovich Krasa,PhD
Stanford Neural Prosthetics Translational Lab (NPTL),Ryan Wang,PhD
UC Davis Neuroprosthetics Lab,,
UC Davis Neuroprosthetics Lab,Maitreyee Wairagkar,PhD
UC Davis Neuroprosthetics Lab,Nicholas Card,PhD
UC Davis Neuroprosthetics Lab,Daril Brown,PhD
UC Davis Neuroprosthetics Lab,Elizaveta (Liza) Okorokova,"PhD, Postdoc"
UC Davis Neuroprosthetics Lab,Tyler Singer-Clark,PhD
UC Davis Neuroprosthetics Lab,Xianda Hou,PhD
Caltech T&C Chen Brain-Machine Interface Center,Nikos Mynhier,PhD
Caltech T&C Chen Brain-Machine Interface Center,Mac Thurston,PhD
Caltech T&C Chen Brain-Machine Interface Center,Fei Yin,PhD
UCSF Chang Lab Speech Neuroprosthesis,Anusha Allawala,PhD
UCSF Chang Lab Speech Neuroprosthesis,Jon Gauthier,PhD
UCSF Chang Lab Speech Neuroprosthesis,Xue Gong,PhD
UCSF Chang Lab Speech Neuroprosthesis,Yuhan Hao,"PhD, Postdoc"
UCSF Chang Lab Speech Neuroprosthesis,Shailee Jain,PhD
UCLA Biomechatronics Lab,Benjamin Forbes,PhD
UCLA Biomechatronics Lab,Evan Harber,PhD
UCLA Biomechatronics Lab,Jimmy Penaloza,PhD
UCLA Biomechatronics Lab,Cole Ten,PhD
UCLA Biomechatronics Lab,Mumbi Whidby,PhD
UW Center for Neurotechnology,,
UC San Diego Translational Neuroengineering Lab,,
USC Neurorestoration Center,,
USC Center for Neural Engineering,,
UC San Diego NEATLab,,
Stanford Functional Neurosurgery Neuroprosthetics Programs,,
Gao Research Group (Caltech),,
Shapiro Lab,,
Willsey Lab,,
Slutzky Neuroprosthetics Laboratory,,
Neuroengineering and Biomedical Instrumentation Laboratory,,
Clinical Neuroprosthetics and Brain Interaction Lab,,
Rice Neural Interface Lab,,
UC Irvine Brain-Computer Interface Lab,,
Harvard BIONICs Lab,,
UM-DBI Lab,,
